Date,Avg. Heart Rate(bpm),Min. Heart Rate(bpm),Max. Heart Rate(bpm),Avg. Spo2(%),Min. Spo2(%),Max. Spo2(%),Avg. HRV(ms),Min. HRV(ms),Max. HRV(ms)
2025-11-25,75,54,147,96%,92%,99%,48,14,131
2025-11-26,70,47,123,96%,93%,100%,52,15,115
2025-11-27,67,44,131,95%,92%,98%,59,11,133
2025-11-28,68,42,144,96%,91%,98%,51,17,152
2025-11-29,67,46,113,96%,92%,98%,52,17,128
2025-11-30,67,45,134,96%,90%,100%,59,17,139
2025-12-01,67,44,143,95%,88%,98%,53,13,118
2025-12-02,64,45,135,95%,90%,99%,62,19,125
2025-12-03,69,45,136,96%,90%,99%,56,14,132
2025-12-04,66,49,110,96%,91%,99%,58,21,124
2025-12-05,69,50,117,96%,93%,97%,48,18,128
2025-12-06,64,46,113,95%,90%,98%,59,17,118
2025-12-07,70,46,131,95%,92%,97%,57,11,132
2025-12-08,66,46,121,95%,87%,99%,55,17,113
2025-12-09,71,48,115,95%,91%,98%,45,14,114
2025-12-10,71,52,124,96%,94%,100%,46,15,99
2025-12-11,71,48,132,96%,90%,99%,52,17,122
2025-12-12,67,48,108,95%,92%,98%,66,22,141
2025-12-13,72,47,144,96%,90%,100%,52,18,131
2025-12-14,74,46,142,95%,89%,98%,55,13,131
2025-12-15,69,51,106,95%,93%,99%,54,11,142
2025-12-16,65,47,116,96%,91%,97%,58,22,185
2025-12-17,65,44,111,94%,89%,97%,69,25,134
2025-12-18,66,46,119,95%,90%,97%,60,17,137
2025-12-19,68,52,117,95%,90%,98%,49,15,128
2025-12-20,61,49,113,94%,90%,97%,69,36,109
2025-12-21,71,45,115,95%,88%,98%,52,17,140
2025-12-22,74,56,132,96%,93%,100%,43,13,113
2025-12-23,67,53,107,95%,88%,98%,52,16,154
2025-12-24,71,52,123,95%,86%,99%,42,17,100
2025-12-25,75,54,133,96%,93%,98%,39,15,88
2025-12-26,74,57,117,95%,91%,99%,41,13,175
2025-12-27,75,56,138,96%,92%,99%,40,17,86
2025-12-28,74,54,120,96%,92%,98%,45,14,158
2025-12-29,75,57,127,96%,89%,98%,44,18,128
2025-12-30,76,59,123,96%,94%,99%,36,11,93
2025-12-31,76,55,120,95%,88%,99%,48,17,101
2026-01-01,75,61,111,95%,90%,97%,41,15,108
2026-01-02,76,57,127,95%,92%,100%,47,17,132
2026-01-03,76,55,145,96%,93%,98%,47,19,98
2026-01-04,73,57,107,96%,89%,98%,50,14,145
2026-01-05,73,57,109,95%,90%,98%,49,15,129
2026-01-06,73,56,112,95%,92%,98%,47,17,107
2026-01-07,70,52,101,96%,92%,99%,51,21,102
2026-01-08,73,54,128,95%,93%,97%,50,11,110
2026-01-09,69,50,111,96%,93%,98%,54,16,126
2026-01-10,69,54,123,95%,93%,97%,63,22,132
2026-01-11,73,49,111,96%,90%,100%,50,11,116
2026-01-12,69,55,116,95%,88%,98%,51,15,123
2026-01-13,67,56,101,95%,87%,97%,53,22,99
2026-01-14,71,52,128,96%,92%,98%,45,13,95
2026-01-15,70,51,119,95%,91%,99%,64,14,128
2026-01-16,68,49,128,96%,94%,98%,68,21,182
2026-01-17,68,50,123,96%,91%,98%,67,17,134
2026-01-18,69,55,109,94%,88%,99%,50,18,119
2026-01-19,68,49,142,95%,91%,98%,68,18,133
2026-01-20,71,51,119,96%,87%,99%,53,17,141
2026-01-21,67,54,103,96%,94%,99%,49,18,121
2026-01-22,70,50,109,93%,82%,98%,50,17,116
2026-01-23,71,53,126,95%,88%,100%,48,13,110
2026-01-24,71,51,131,96%,92%,97%,55,13,109
2026-01-25,68,51,115,95%,89%,100%,58,15,115
2026-01-26,67,50,128,94%,87%,99%,57,22,122
2026-01-27,70,53,115,95%,89%,100%,50,17,113
2026-01-28,68,54,102,96%,91%,100%,46,13,110
2026-01-29,71,48,115,96%,91%,99%,46,12,124
2026-01-30,72,52,111,95%,91%,98%,43,18,122
2026-01-31,73,54,129,95%,91%,98%,48,19,106
2026-02-01,70,54,118,96%,87%,100%,59,21,126
2026-02-02,71,53,127,94%,84%,99%,54,16,122
2026-02-03,71,53,112,95%,87%,99%,50,16,118
2026-02-04,72,51,119,96%,91%,98%,57,21,131
2026-02-05,73,53,114,94%,83%,99%,54,16,110
2026-02-06,66,55,101,95%,93%,98%,54,22,103
2026-02-07,70,53,112,96%,94%,98%,54,18,132
2026-02-08,73,54,107,96%,90%,98%,44,15,102
2026-02-09,72,50,118,95%,92%,100%,45,15,113
2026-02-10,70,51,115,95%,91%,99%,51,19,108
2026-02-11,68,54,111,94%,87%,98%,49,18,127
2026-02-12,69,55,111,95%,88%,99%,53,17,104
2026-02-13,72,53,111,94%,88%,100%,40,16,82
2026-02-14,72,55,134,96%,94%,99%,39,11,94
2026-02-15,68,50,101,96%,93%,98%,48,15,139
2026-02-16,71,55,120,95%,92%,97%,41,14,95
2026-02-17,74,54,111,95%,88%,98%,37,11,90
2026-02-18,74,54,123,95%,88%,99%,44,13,104
2026-02-19,78,53,133,96%,91%,99%,37,13,144
2026-02-20,75,56,113,95%,91%,97%,39,15,161
2026-02-21,77,56,124,96%,88%,100%,46,17,117
2026-02-22,79,51,127,95%,90%,99%,42,11,114
2026-02-23,93,71,141,96%,95%,98%,29,11,61
2026-02-24,82,58,121,96%,89%,100%,45,11,96
2026-02-25,80,55,133,96%,90%,98%,44,12,143
2026-02-26,81,59,132,94%,89%,100%,33,11,107
2026-02-27,77,59,125,95%,91%,99%,44,12,127
2026-02-28,77,58,109,94%,84%,100%,43,11,128
2026-03-01,82,55,143,94%,87%,98%,33,11,82
2026-03-02,79,61,100,94%,90%,98%,36,12,116
2026-03-03,84,58,121,95%,90%,98%,35,12,93
2026-03-04,82,64,142,95%,88%,99%,33,12,76
2026-03-05,82,64,121,94%,87%,98%,35,11,98
2026-03-06,80,46,138,95%,87%,99%,38,11,95
2026-03-07,81,41,142,95%,90%,99%,35,11,129
2026-03-08,81,56,135,95%,86%,98%,35,12,92
2026-03-09,87,61,143,95%,91%,100%,27,11,71
2026-03-10,84,66,129,95%,87%,98%,28,11,86
2026-03-11,83,61,131,95%,87%,97%,29,11,82
2026-03-12,83,61,117,95%,88%,98%,32,11,72
2026-03-13,89,66,135,95%,88%,100%,24,11,59
2026-03-14,88,62,142,96%,87%,99%,29,11,90
2026-03-15,86,65,143,94%,88%,98%,29,11,78
2026-03-16,86,64,125,96%,93%,98%,34,11,79
2026-03-17,83,67,117,94%,90%,98%,33,11,92
2026-03-18,86,65,141,93%,87%,97%,30,11,81
2026-03-19,82,61,124,94%,89%,97%,32,11,89
2026-03-20,82,65,118,93%,83%,98%,37,12,81
2026-03-21,83,61,137,93%,87%,98%,31,12,81
2026-03-22,82,57,126,94%,84%,99%,35,11,87
2026-03-23,86,63,122,94%,84%,98%,28,11,76
2026-03-24,86,62,148,94%,85%,98%,31,12,123
2026-03-25,89,68,143,94%,88%,97%,27,11,85
2026-03-26,94,72,150,95%,90%,100%,26,11,63
2026-03-27,86,68,126,94%,87%,99%,32,11,119
2026-03-28,85,65,110,95%,88%,99%,32,11,84
2026-03-29,82,60,110,94%,89%,98%,34,11,90
2026-03-30,84,64,121,95%,87%,100%,30,11,84
2026-03-31,88,64,135,95%,89%,99%,27,11,103
2026-04-01,83,63,124,94%,86%,97%,30,11,76
2026-04-02,91,71,149,94%,85%,97%,29,11,84
